pmid;pmcid;doi;publisher_id;journal;journal_domain;journal_field;journal_subfield;n_authors;is_plos;is_bmc;title;n_references_tot;n_references;has_das;das_encouraged;das_required;das;p_year;p_month;has_month;n_cit_2;n_cit_3;n_cit_5;n_cit_tot;h_index_min;h_index_max;h_index_mean;h_index_median;das_class;j_lower
27018852.0;4809496;10.1371/journal.pone.0147121;PONE-D-15-24869;PLoS ONE;General;General Science & Technology;General Science & Technology;5;True;False;Characterizing Forest Change Using Community-Based Monitoring Data and Landsat Time Series;75;17;True;True;True;All remote sensing datasets are freely available from the USGS Earth Explorer portal (http://earthexplorer.usgs.gov). Local expert monitoring data and code used for analysis are available online at http://dx.doi.org/10.5281/zenodo.44611.;2016;3;True;1;2;2;2;0.0;4.0;1.2;1.0;3;plos one
28166792.0;5292805;10.1186/s12993-017-0120-9;120;Behavioral and Brain Functions : BBF;Health Sciences;Psychology & Cognitive Sciences;Experimental Psychology;4;False;True;Mothers’ pupillary responses to infant facial expressions;49;45;True;True;True;The pupil/gaze data presented in the current study have been anonymized and made publicly available at Zenodo (http://dx.doi.org/10.5281/zenodo.45989). The analysis toolbox, gazeAnalysisLib [24] is open source and custom scripts for analyses together with the currently utilized version of gazeAnalysisLib are available at GitHub (https://github.com/infant-cognition-tampere/sa-pupil-analysis). Syntax (IBM SPSS Statistics) for statistical analyses performed for the extracted pupil constriction and dilation are further included within the same repository.;2017;2;True;1;1;1;1;0.0;2.0;1.5;2.0;3;behavioral and brain functions
28330499.0;5363043;10.1186/s13073-017-0417-1;417;Genome Medicine;;;;12;False;True;A novel multi-network approach reveals tissue-specific cellular modulators of fibrosis in systemic sclerosis;95;84;True;True;True;Previously published gene expression datasets used in this study were deposited in the Gene Expression Omnibus repository (http://www.ncbi.nlm.nih.gov/geo/) under the following accession numbers: GSE9285, GSE32413, GSE45485, GSE59785, GSE76808, GSE48149, GSE68698, GSE19617, and GSE22356. The expression datasets that were previously unpublished are available from the Gene Expression Omnibus under the following accession numbers: GSE76806 (LSSc) and GSE76807 (UCL). The functional genomic networks used in this study are publicly available at http://giant.princeton.edu/. The GIANT sub-networks analyzed as part of this study are included in this published article (and its additional files). See Zenodo (https://zenodo.org/record/216614) and figshare (http://doi.org/10.6084/m9.figshare.4490798) for additional expression data files and analysis scripts and intermediate files, respectively.;2017;3;True;4;4;4;4;0.0;9.0;3.333;2.5;3;genome medicine
28103897.0;5244706;10.1186/s13059-016-1140-8;1140;Genome Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;14;False;True;Dual RNA-seq reveals viral infections in asthmatic children without respiratory illness which are associated with changes in the airway transcriptome;68;66;True;True;True;The datasets supporting the conclusions of this article, (1) count tables for host expression data and (2) in vitro HRV stimulation RNA-seq count tables, are available in Additional file 1: Tables S2 and S5, and (3) BAM files of non-human reads are available in the NCBI SRA repository with BioProject ID: PRJNA348728 (https://www.ncbi.nlm.nih.gov/bioproject/PRJNA348728) or with SRA identifier SRP091658 (https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=search_obj&m=&s=&term=SRP091658&go=Search). The source code for the virus detection pipeline, as well as all the analyses carried out in this paper, is available at Github (https://github.com/agawes/Virus_manuscript_Genome_Biology) and Zenodo (http://doi.org/10.5281/zenodo.204929).;2017;1;True;3;3;3;3;0.0;9.0;2.929;2.5;3;genome biology
28395661.0;5387360;10.1186/s13059-017-1189-z;1189;Genome Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;4;False;True;DeepCpG: accurate prediction of single-cell DNA methylation states using deep learning;72;51;True;True;True;DeepCpG is available as Python software (https://github.com/PMBio/deepcpg, doi:10.5281/zenodo.322423), released under MIT license. The scBS-seq data from 18 serum and 12 2i ESCs from Smallwood et al. [5] are available under GEO accession number GSE56879. The scRRBS-seq data from HCCs, HepG2 cells and mESCs from Hou et al. [8] are available under GEO accession number GSE65364.;2017;4;True;10;10;10;10;3.0;15.0;8.75;8.5;3;genome biology
28636619.0;5479540;10.1371/journal.pone.0179630;PONE-D-16-38161;PLoS ONE;General;General Science & Technology;General Science & Technology;2;True;False;What do computer scientists tweet? Analyzing the link-sharing practice on Twitter;66;13;True;True;True;All data are available from the Zenodo repository (DOI: 10.5281/zenodo.580587).;2017;6;True;0;0;0;0;0.0;1.0;0.5;0.5;3;plos one
27077743.0;4831837;10.1371/journal.pone.0153283;PONE-D-15-43306;PLoS ONE;General;General Science & Technology;General Science & Technology;22;True;False;Clinical and Paraclinical Indicators of Motor System Impairment in Hereditary Spastic Paraplegia: A Pilot Study;55;49;True;True;True;The data underlying the results described in the manuscript are uploaded in the web repository Zenodo under the code DOI: 10.5281/zenodo.35381.;2016;4;True;0;1;1;1;0.0;5.0;1.5;1.5;2;plos one
26849568.0;4744047;10.1371/journal.pone.0148377;PONE-D-15-12909;PLoS ONE;General;General Science & Technology;General Science & Technology;5;True;False;What Makes Sports Fans Interactive? Identifying Factors Affecting Chat Interactions in Online Sports Viewing;60;1;True;True;True;All data in this study are fully available without restriction. All of the chat interaction data used in this study are available in the public domain (https://zenodo.org/record/34939#.Vnt0dRWLTcu).;2016;2;True;1;1;1;1;0.0;1.0;0.2;0.0;2;plos one
29566003.0;5863977;10.1371/journal.pone.0194188;PONE-D-16-39761;PLoS ONE;General;General Science & Technology;General Science & Technology;5;True;False;Changes and specificities in health behaviors among healthcare students over an 8-year period;72;55;True;True;True;Data is available on Zenodo at https://doi.org/10.5281/zenodo.854656.;2018;3;True;0;0;0;0;0.0;0.0;0.0;0.0;3;plos one
30286163.0;6171903;10.1371/journal.pone.0205103;PONE-D-18-07184;PLoS ONE;General;General Science & Technology;General Science & Technology;5;True;False;Fas/FasL pathway and cytokines in keratinocytes in atopic dermatitis – Manipulation by the electromagnetic field;34;32;True;True;True;All data used for this publication was uploaded to the public repository Zenodo https://doi.org/10.5281/zenodo.1300679.;2018;7;True;0;0;0;0;0.0;3.0;1.6;2.0;3;plos one
